"음료 / 차","beverages / tea"
"녹차. 한국, 중국, 일본에서는 녹차를 많이 마셔요.","green tea. Korea, china, japan in as for green tea a lot drink."
"맥주. 슈퍼마켓이 가서 맥주 5병과 안주를 사 왔어요.","beer. Supermarket went and beer 5 bottles and snack bought and came."
"사이다. 저는 콜라보다 사이다를 더 좋아해요.","clear soda pop. i cola compared to cider more like."
"소주. 저는 소주를 반 병 정도 마실 수 있습니다.","soju. I soju half bottle around drink able to."
"술. 한국에서는 어른 앞에서 술을 마실 때 고개를 옆으로 돌려야 해요.","alcohol. Korean in as for elder in front of alcohol drink when head side towards turn have to."
"식혜. 식사 후에 후식으로 시원한 식혜를 한 잔 마셨어요.","sikhye, swee non-alcoholic fermented rice drink. Meal after dessert for refreshing sikhye one glass drank."
"우유. 밤에 잠이 안 오면 따뜻한 우유를 한 잔 마셔 보세요.","milk. Night sleep not come if warm milk one glass drink try."
"음료수. 음료수 한 잔 드릴까요? 커피, 녹차, 콜라, 주스가 있는데요.","beverage. Beverage 1 glass give shall i? Green tea, cola, juice have."
"인삼. 인삼으로 만든 차를 마시면 건강에 좋아요.","ginseng. Ginseng with made tea drink if health good."
"주스. 저는 아침마다 토마토 주스를 한 잔씩 마셔요.","juice. I morning every tomato juice i glass each drink."
"차. 차, 홓차, 인삼차, 등 차의 종류는 정말 많아요.","tea. Tea, black tea, ginseng tea, etc/such as tea's type really a lot."
"커피. 우리 커피숍에 가서 커피 한 잔 할까요?","coffee. We coffee shop go and coffee 1 glass drink shall we?"
"콜라. 피자를 시키시면 콜라 한 병을 무료로 드립니다.","coke. Pizza order if coke 1 bottle free give."
"홍차. 영국 사람들은 홍차를 즐겨 마셔요","black tea. England people black tea enjoy and drink."
