"시간","time"
"날짜","date"
"개월. 한국에 온지 1년 6개월이 되었습니다.","months(s). Korea come since 1 year 6 months became."
"그저께. 그저께부터 목이 아프기 시작했습니다.","the day before yesterday. Day before yesterday from throat hurting started."
"금년. 금년 여름은 작년 여름보다 더 더웠습니다.","this year. This year summer as for last year summer compared to more hot was."
"날. 저는 보통 쉬는 날에 친구를 만납니다.","a day. I usually resting day on friend meet."
"날짜. 여행 갈 날짜를 정합시다.","a date. Trip go date set/decide let's."
"내년. 제 조카는 내년 3월에 초등학교에 갑니다.","next year. My nephew next year 3 months for elementary school goes."
"내일. 내일 날씨는 어떨까요? 내일 다시 봅시다.","tomorrow. Tomorrow weather as for how will be? Tomorrow again meet let's."
"년. 일 년에 몇 번 고향에 가요?","year. 1 year in how many times hometown go."
"달. 다음 달까지 이 일을 끝내야 합니다.","month. Next month til this work finish have to."
"달력. 달력을 보니까 벌써 10월이네요.","calendar. Calendar look at only to realize already october is surprisingly."
"말. 이번 연말에 고향에 돌아갈 거예요.","the end. This time year end hometown return will."
"매일. 피터 씨는 매일 일기를 씁니다.","every day. Petery every day diary writes."
"며칠. 오늘이 며칠이에요?","day of the month, a few days. Today what day is?"
"며칠. 올기 씨에게서 며칠 동안 연락이 없어요.","few days, day of month. Olga to few days duration contact didn't."
"모레. 오늘이 월요일이니까 모레는 수요일이네요.","the day after tomorrow. Today monday is cuz day after tomorrow as for wednesday is surprisingly."
"새해. 새해에는 매일 운동하기로 했어요.","new year. New year on as for, everyday exercise decided/promised made."
"어제. 어제가 제 생일이었어요.","yesterday. Yesterday my birthday was."
"언제. 한국에 언제 오셨어요.","when. Korea to when came?"
"오늘. 오늘 해야 할 일이 많아요.","today. Today work that i will have to do a lot."
"올해. 올해 여름이 작년 여름보다 더 더운 것 같아요.","this year. This year summer last year summer compared to more hot will be think."
"요일. 오늘이 무슨 요일이에요? 월요일이에요.","day of the week. Today which day of week is? Monday is."
"월. 리에 씨는 내년 1월에 일본으로 돌아갑니다.","leah as for next year 1 month for japan to returns."
"월말. 우리 회사는 월말에 가장 바쁩니다.","the end of the month. Our company as for end of month during most busy."
"음력. 제 생일은 양력으로는 8월이고, 음력으로는 7월 입니다.","lunar calendar. My birthday as for solar calendar by 8 month and lunary calendar by 7 month is."
"이틀. 저는 이틀에 한 번씩 머리를 감습니다.","two days. two days in once hair wash."
"일주일. 리에 씨는 일주일 동안 휴가를 갈 거예요.","a week. Leah week duration vacation go will."
"작년. 준이치 씨는 작년부터 한국어를 공부하기 시작했습니다.","last year. June leejee last year from korean studying started."
"주말. 저는 주말마다 할아버지 댁에 갑니다.","weekend. I weekend every grandfather house to go."
"주일. 우리는 일주일에 다섯 번 학교에 갑니다.","week. We week in 5 times school go."
"지난주. 지난주에는 매우 바빴습니다.","last week. Last week in as for very busy was."
"첫날. 한국에서는 새해 첫날에 떡국을 먹습니다.","the first day. Korea at as for new year first day on rice cake eat."
"평일. 이 가게는 평일보다 주말에 손님이 더 많아요.","this store as for weekday compared to weekend on customer more a lot."
"하루. 하루에 세 번 이를 닦아요.","day. Day in 3 times teeth brush."
"휴일. 휴일에는 늦잠을 자고 싶습니다.","holiday. Holiday during as for oversleeping sleep want to."
