"도시","cities"
"경주. 불국사를 구경하러 경주에 갔어요.","gyeongju. buddhist temple sightseeing in order to gyeongju went."
"광주. 제 고고향은 전라남도 광주예요","gwangju. My hometown jeollanam gwangju is."
"대구. 대구는 사과가 맛있는 곳으로 유명해요.","daegu. Daegu apple tasty place for famous."
"대전. 이 기차는 대전으로 가는 기차입니다.","daejeon. This train daejeon to going train is."
"도시. 서울은 정말 아름다운 도시에요.","city. Seoul really beautiful city is."
"부산. 한국에서 제일 큰 도시는 서울이고, 두 번째는 부산이에요.","busan. Korean at most big city as for seoul is and , second busan is."
"서울은 한국의 수도입니다.","seoul. Seoul korea's capital is."
"속초. 이번 여름에는 유명한 해수욕장이 많은 속초에 가서 쉬세요.","Sokcho. This summer sokcho to, where famous beaches many, go and rest."
"안동. 이번 방학에는 안동으로 여행을 가고 싶습니다.","andong. This vacation andong to trip go want to."
"이천. 경기도 이천은 맛있는 쌀로 유명해요.","gyeongi also icheon as for tasty rice for famous."
"인천. 인천에는 인천 국제 공항이 있어요.","incheon. Incheon in incheon airport located is."
"전주. 전주는 무엇으로 유명해요? 비빔밥이 가장 유명해요.","jeonju. Jeonjus bibimpap for famous."
"지방. 서울은 집 값이 비싸지만 지방은 그렇지 않아요.","provinces, district. seoul as for house prices expensive but provinces like that not."
"춘천. 춘천에는 드라마 '겨울연가'의 촬영 장소가 있어요.","chucheon. chucheon in drama winter sonata filming location is."
