"학교","school"
"공부. 한국어 공부가 어때요?","study. How are your korean studies going?"
"교문. 교문 앞에서 두 시에 만납시다.","school gate. School gate front 2 o'clock meet let's."
"교실. 학생들이 지금 교실에서 한국어를 공부하고 있어요.","classroom. Students now classroom at korean studying."
"규칙. 교실에서 지켜야 하는 규칙은 뭐예요?","rule. Classroom at guard/follow have to rules as for what is?"
"기숙사. 저는 학교 기숙사에서 살아요.","Dormitory. I school dormitory at live."
"대학원. 저는 대학교를 졸업한 다음에 바로 대학원에 들어 갔어요.","graduate school. I university graduate after straight graduate school entered."
"도서관. 어제 도서관에서 책을 빌렸어요.","library. Yesterday library from book borrowed."
"도시락. 소풍 갈 때 도시락을 싸 가지고 갔어요.","lunch box. picnic/excursion go when lunchbox packed brought and went."
"등. 이번 시험에서 요시코 씨가 1등을 했어요.","rank. This test on yoshiko 1 rank did."
"등록. 한국어를 공부하려고 어제 학원에 등록했어요.","registration. Korean study intending to yesterday hagwon to registered."
"모이다. 같은 나라에서 온 사람들끼리 모이세요.","to gather together. Same country from came people among/with each other gather."
"모임. 오늘 오후에 친구들하고 모임이 있어요.","social gathering, a meeting. Today afternoon friends with gathering have."
"반. 우리 반에는 중국 사람이 5명 있어요.","class. Our class in as for chinese person 5 have."
"방학. 이번 방학 때 뭐 할 거예요?","school holidays. Vacation. This school holidays during what do will?"
"배우다. 저는 2년 전부터 일본어를 배우기 시작했어요.","learn. From 2 years ago i started learning japanese."
"분실물. 분실물을 찾으려면 어떻게 해야 하지요?","a lost article. Lost article find if want to how do i have to do?"
"비다. 수업이 끝난 후에 보통 빈 교실에서 혼자 복습해요.","empty. Class end after usually empty classroom alone review."
"선생님. 선생님, 질문 있습니다.","teacher. Teacher i have a question."
"소퐁. 이번 학기에는 어디로 소풍을 가요?","picnic, excursion. This semester for where to picnic/excursion go?"
"운동장. 저는 주말마다 반 친구들하고 같이 학교 운동장에서 축구를 해요.","playground. I weekend every class friends with together school playground at soccer do."
"유학. 한국어를 배우려고 한국에 유학을 왔어요.","studying abroad. Korean learn in order to / intending to korea to studying abroad came."
"일기. 한국어 쓰기를 잘하고 싶으면 매일 한국어로 일기를 써 보세요.","diary, journal. Korean writing do well want to if everyday korean using journal write try and see how it goes."
"입학. 대학교에 언제 입학했어요?","entering int school, matriculation. University to when entered?"
"잘하다. 제 전공은 경영학이에요.","major. My major business administration is."
"정문. 학교 정문 건너편에 아주 맛있는 식당이 있어요.","the front (main) gate. School front gate across / opposite from very tasty restaurant is."
"졸업. 저는 작년에 대학을 졸업했어요.","graduation. I last year uni graduated."
"지식. 제 친구는 역사에 대한 지식이 많아요.","knowledge. My friend history about knowledge a lot."
"학교. 집에서 학교까지 얼마나 걸려요?","school. House from school to how long time takes?"
"학기. 이번 학기가 끝나면 뭐 하실거예요?","semester. This semester ends when what do (horrifically) will?"
"학년. 대학교 1학년 학생들을 신입생이라고 불러요.","Grade, school years. University first year students freshman call."
"학생. 앤디 씨 반에는 학생이 모두 몇 명 있어요?","student. Andy class in as for student altogether how many people?"
"환영. 한국에 오신 것을 환영합니다.","welcome. Korean coming to (i/we) welcome."
