"음악.","music."
"가요. 왕위 씨는 한국 가요를 잘 부릅니다.","korean popular song. Wangwi as for korean pop song well sings."
"감상. 저는 머리가 아프면 음악을 감상합니다.","appreciation. I head hurt if music appreciation."
"기타. 우리 오빠는 어릴 때부터 기타를 배웠습니다.","guitar. Our brother as for young when from guitar learned."
"노래. 저는 노래를 잘하는 사람이 부러워요.","song. I song well doing people envy."
"발라드. 올가 씨는 조용한 발라드 음악을 좋아합니다.","ballad. Olga as for quiet ballad music likes."
"부르다. 피터 씨는 항상 큰 소리로 노래를 부릅니다.","sing. Peter as for always loud voice with song sings."
"음악. 리에 씨는 음악을 들으면 공부를 합니다.","music. Leah as for music listen while study does."
"재즈. 저는 재즈를 들으면 마음이 편해집니다.","jazz. I jazz listen while feeling comfy becomes."
"콘서트. 지난주에 제가 좋아하는 가수의 콘서트에 갔습니다.","concert. Last week I liked singer's concert to went."
"클래식. 저는 클래식 음악을 자주 듣습니다.","classics. I classic music often listen."
"팝송. 저는 팝송을 들으면서 영어 공부를 합니다.","pop song. I pop song listen while english study do."
