"위치","locations"
"가깝다. 우리 집은 학교에서 가까워요.","close. our house school from close."
"가운데. 길 가운데에 큰 나무가 있어요.","the middle. Street middle at big tree is."
"거기. 우리 지난번에 간 그 식당에 갈까? 그래, 거기 가자.","there. Our last time went that restaurant to go shall we? Sure there go let's."
"건나. 길 건너에 식당이 있어요.","across, the opposite side. Street opposite at restaurant is."
"교외. 가까운 교외로 나가서 좀 쉬고 오자.","the outskirts, the suburbs. Close outskirts towards leave little rest and come let's."
"그곳. 저는 지난 여름에 유럽에 갔습니다. 올해도 다시 그곳에 가고 싶습니다.","that place. I last summer europe went. Next year also again that place go want to."
"근처. 우리 근처에 가게가 많이 있어요.","near. Us near store many are."
"뒤. 학교 뒤에 산이 있어요.","behind. School behind mountain is."
"맞은편. 우리 집은 병원 바로 맞은편에 있어요.","the opposite side. Our house hospital straight opposite side is."
"멀리. 멀리 가지 말고, 집 근처에서 놀아라라.","far go don't i said, house close at play."
"밑. 지갑이 책상 밑에 떨어져 있었어요.","under, lower part. Wallet desk under fell and remained."
"밖. 집에만 있지 말고, 밖에 나가서 놉시다.","the outside. House in only be dont and, outside go out and then play let's."
"아래. 아래로 좀 더 내려가면 사거리가 있어요.","down below. Down towards little more go down if intersection is."
"안. 추우니까 빨리 식당 안으로 들어가지.","inside. Cold cuz quickly restaurant inside towards enter."
"앞. 이따가 수업 끝나고 학교 정문 앞에서 보자.","the front. In a little while class end and school gate front at see let's."
"여기. 아저씨, 여기가 명동이에요?","here. Mister, here myeongdeong is?"
"요기저기. 여행을 다니면서 여기저기 많이 구경하고 싶어요.","here and there. Travel attending while here and there a lot sight seeing do want to."
"옆. 우리 회사 옆에 아주 예쁜 공원이 있어요.","our company beside very pretty park is."
"위. 저위쪽에 있는 식당으로 갈까요?","above, the upper part, the top. Over there top at existing restaurant towards go shall we?"
"위치. 그 회사 위치가 어디인지 아세요?","location. That company location where is know?"
"이곳. 이곳에서는 담배를 피우면 안 됩니다.","this place. This place at as for cigarette smoke not allowed."
"저. 저 식당에는 항상 사람들이 많아요.","that. That restaurant at always people many."
"저곳. 저곳은 항상 교통이 복잡해요.","that place. That place always traffic crowded."
"저기. 저기 강이 보이네요.","over there. Over there river you'll see."
"주위. 우리 집 주위는 깨끗하고 조용해요.","near, the neighborhood, the surroundings. Our house around clean and quite."
"중심. 저를 중심으로 오른쪽에 남학생, 왼쪽에 여학생이 앉으세요.","me center at, on the right male student, on the left female student sit."
