"성격","personality"
"강하다. 피터 씨는 책임감이 강한 사람입니다.","to be strong. Peter responsibility strong person is."
"개인. 요시코 씨는 개인적인 얘기를 잘 안 합니다.","individual, person. Yoko personal talk well doesn't do."
"겁. 저는 겁이 많아서 놀이기구를 못 타요.","fear. I fear a lot amusement rides can't ride."
"게으르다. 게으른 사람은 성공하기가 어렵습니다.","to be lazy. Lazy person as for succeeding difficult."
"급하다. 저는 성격이 급해서 가끔 실수를 해요.","to be urgent, short-tempered. I as for, personality urgent/short-tempered so sometimes mistakes do."
"농담. 왕위 씨는 재미있는 농담을 잘해요.","a joke. Wangwi as for, funny joke well does."
"드르다. 저는 조용한데 제 동생은 말이 많아요. 우리는 성격이 달라요.","different. I quiet and/but my younger sibling as for words a lot. Our personality different."
"명랑하다. 리에 씨는 명랑하고 공부도 열심히 하는 학생입니다.","to be cheerful. Leah cheerful and hard studying student is."
"부끄럽다. 올가 씨는 부끄러워서 얼굴이 빨개졌어요.","to be embarrassed, to be shy. Olga as for, shy so face red turned."
"부지런하다. 요시코 씨는 부지런해서 쉬지 않고 열심히 일합니다.","to be diligent. Yoko as for diligent so rest doesn't and hard worlds."
"불친절하다. 손님에게 불친절한 식당에는 다시 가고 싶지 않아요.","unfriendly, unkind. Customers to unkind restaurant again go don't want to."
"생각. 안나 씨는 생각도 깊고 마음도 넓어요.","though. Anna thoughts also deep heart also big."
"서두르다. 저는 모든 일을 서둘러서 빨리 끝내요.","to hurry, to rush. I all work rush so quickly finish."
"성격. 올가 씨는 성격이 좋아서 친구가 많아요","personality. Olga personality good so friend a lot."
"습관. 어려서부터 좋은 습관을 가져야 해요.","habit. You must have good habits from a young age."
"신경. 별일 아니니까 신경 쓰지 마세요.","worry, concern. it's nothing important so worries/concerns don't use."
"인기. 요즘은 재미있는 사람이 인기가 많아요.","popularity. These days interesting/funny people popularity a lot."
"자랑. 피터 씨가 이번 시험에서 일등을 했다고 자랑했어요.","boast, brag. Peter this time test ""first rank did"" bragged."
"자신. 저는 모든 일에 자신이 있는 사람이 좋아요.","i everything in confidence having people prefer."
"착하다. 저는 착한 사람과 결혼하고 싶어요.","to be good-hearted. I good-hearted person with marry want to."
"참다. 많이 아플 때는 참지 말고 병원에 가세요","endure. A lot hurt during endure don't and hospital go."
"천사. 제 동생은 천사처럼 착해요.","angel. My brother angel like kind."
"친철. 리에 씨가 친절하게 잘 도와줬어요.","kindness. Leah kindly well help gave."
"활동. 저는 좀 더 활동적인 사람이 되고 싶어요.","activity. I bit more active person become want to."
