"식당","restaurants"
"굶다. 아침, 점심을 다 굶어서 배가 너무 고파요.","to skip a meal. Breakfast, lunch all skipped so stomach very hungry."
"남기다. 배가 너무 불러서 밥을 반이나 남겼어요.","to leave food or message stomach very full so meal half as much as left."
"남기다. 친구가 전화를 안 받아서 메시지를 남겼어요.","to leave food on one's plate or a message. Friend call didn't pick up so message left."
"냄새. 이 식당은 음식 냄새가 심하게 나지 않아서 좋아요.","smell. This restaurant food smell strongly doesn't emerge so good."
"들다. 제가 만든 빵인데 한번 드셔 보세요.","to eat (honorific). I made bread is, once eat try."
"따로. 한국에서는 밥과 국을 따로 먹지만 반찬과 찌개는 따로 먹지 않아요","separately. In korea rice and soup separately eat but side dishes and stew separately eat don't."
"뜨겁다. 커피가 너무 뜨거우니까 조심하세요","to be hot (touch). Coffee very hot cuz be careful."
"마시다. 후식으로 콜라를 마시고 싶어요","to drink. Desert for cola drink want to."
"먹다. 오늘은 무슨 음식을 먹으러 갈까요?","to eat. Today what food eat to go shall we?"
"메뉴. 저기요, 메뉴 좀 보여 주세요.","menu. Hey over there, menu show me pls."
"목마르다. 목마르시면 물 한 잔 드릴까요?","to be thirsty. Thirsty if water 1 cup shall i give?"
"물. 아줌마, 여기 물 좀 주세요.","water. Ahjumma over here water give pls."
"배고프다. 지금 배고프면 학생식당에 가서 밥을 먹을까요?","to be hungry. Now hungry if school cafeteria go and meal eat shall we?"
"배부르다. 밥을 너무 많이 먹어서 배불러요.","to be bull. Meal/rice very a lot ate so full."
"별로. 저는 매운 음식을 별로 안 좋아해요","especially, particularly (negative). I spicy food especially don't like."
"분위기. 제 생일에 친구들하고 분위기 좋은 식당에서 맛있는 저녁을 먹으려고 해요","an atmosphere. My birthday on friends with atmosphere good restaurant at tasty dinner eat planning to."
"수저. 한국에서는 어른이 수저를 들기 전에 먼저 식사를 시작하면 안 돼요.","spoon and chopsticks. Korean in elder chopsticks pick up before first meal start if not allowed."
"숟가락. 한국에서 식사할 때에는 밥과 국은 숟가락으로 먹고, 반찬은 젓가락으로 먹어요.","spoon. Korean at meal doing when as for rice and soup spoon with eat and side dishes chopsticks with eat."
"시키다. 저기요, 저는 볶음밥을 시켰는데, 비빔밥이 나왔어요.","order. Hey, i fried rice ordered but bibimbap came out."
"식다. 커피가 너무 뜨거우니까 조금 식은 후에 드세요.","to cool off. Coffee too hot little cool off after drink."
"식당. 그 식당은 가격도 싸고 맛있어서 자주 가요.","restaurant. That restaurant prices also cheap and tasty so often go."
"식사. 우리 회사 근처에는 식당이 많이 없어서 점심 식사 하기가 불편해요.","meal. Our company near restaurant a lot not exist so lunch meal doing uncomfy."
"외식하다. 우리 가족은 한 달에 한 번쯤 외식해요.","to eat out. Our family as for 1 month in 1 time about eat out."
"잡수시다. 할아버지께서 지금 점심을 잡수세요.","to eat (honorific). Grandpa now lunch eat."
"접시. 여기요, 개인 접시 좀 주시겠어요?","plate, dish. Hey, individual/personal plate give pls?"
"젓가락. 저는 아직 젓가락을 잘 쓰지 못해요.","chopsticks. I still chopsticks well use can't."
"종업원. 이 식당은 종업원들이 참 친절해요.","an employee, service worker. This restaurant employees very kind."
"주문. 뭐 주문하시겠어요? 비빔밥 하나하고 냉면 하나 주세요.","order. What order will?"
"집다. 반찬을 먹을 때는 젓가락으로 집어서 먹어요.","to pick up. Side dishes eating when as for chopsticks using pick up and eat."
"차갑다. 냉장고에 있는 차가운 물을 드세요.","to be cold (touch). Fridge in existing cold water drink."
"컵. 여기요, 물 한 컵만 주시겠어요? 네 갖다 드릴게요.","cup. Hey water 1 cup give pls will you?"
