"학습 도구","school supplies, learning tools."
"가위. 이부분을 가위로 자르세요.","scissors. this part scissors with cut."
"공책. 공책에 매일 일기를 써서 선생님께 드려요.","notebook. Notebook in everyday journal write and then teacher to give."
"어떻게 하죠? 교과서를 집에 놓고 왔어요.","textbook. What do i do? Textbook house placed and came (left)."
"노트. 아저씨, 노트 세 권만 주세요.","Notebook. Ahjussi notebook 3 books only give."
"만년필. 요즘은 만년필을 쓰는 사람이 별로 없어요.","fountain pen. These days as for fountain pen writing person not really are."
"불핀. 불펜 좀 빌려 주세요.","ballpoint pen. Ball pen lend me pls."
"사전. 글을 읽을 때 모르는 단어는 사전을 찾아 봐요.","dictionary. Writing reading during not knowing words as for dictionary find try to."
"색연필. 초등학교 다닐 때는 색연필로 그림을 많이 그렸어요.","colored pencil. Elementary school attending when coloured pencil with drawing a lot drew."
"수첨. 중요한 약속은 수첩에 꼭 메모를 해 놓으세요.","notepad, notebook. Important promises/appointments/plans as for notepad in memorandum do and put."
"연필. 공책에 연필로 글씨를 썼어요.","pencil. Notebook in pencil with writing/letters wrote."
"의자. 의자가 딱딱해서 앉으면 불편해요.","char. Chair hard/stiff so sit if uncomfy."
"종이. 이 책의 종이는 조금 두꺼운 것 같아요.","paper. This notebook's paper as for little thick seems/think."
"지우개. 글씨를 잘못 써서 지우개로 지우고 다시 썼어요.","Eraser. writing/handwriting/letters/text wrong wrote so eraser with erased and again wrote."
"책. 책을 사러 서점에 가려고 해요.","book. Book buy in order to bookstore to go plan to."
"책상. 책상 위에 책이 두 권 있어요.","desk. Desk on top of book 2 are."
"테이프. 테이프에는 뭐가 녹음되어 있어요?","tape. Tape on as for something is recorded exists?"
"필통. 필통에서 볼펜을 꺼냈어요.","pencil case. Pencil case from ball pen took out."
