"영화 / 연극","movies / plays"
"공포. 리에 씨는 공포 영화 보는 것을 좋아합니다","horror. Leah horror movie watching likes."
"극장. 영화를 보려고 극장에 가서 표를 예매했어요.","movie theater. Movie watch in order to theater go and tickets bought."
"매진. 주말이라서 영화 표가 모두 매진됐습니다","sold out. Weekend is cuz movie tickets all sold out became."
"멜로. 안나 씨는 멜로 영화를 좋아해요.","melodrama. Anna melodrama movie likes."
"보다. 이 연극을 보려면 어느 극장으로 가야 해요.","watch. this play watch in order to which theater to go have to?"
"보이다. 앞이 잘 보이는 자리에 앉고 싶어요.","to be seen. Front well seen seat at sit want to."
"보이다. 어제 친구가 저에게 영화를 보여 주었습니다.","to show. yesterday friend, me to movie showed"
"상영. 지금 상영되고 있는 영화 중에서 제일 재미있는 영화가 뭐예요?","playing. Now playing movie between most interesting movie what is?"
"서양. 요즘 서양 사람들도 한국 영화에 관심이 많습니다.","western, occident, west. These day western people also korean movie interest a lot."
"소극장. 연극은 보통 소극장에서 공연을 많이 합니다.","little theater. play usually little theater at performance a lot do."
"액션. 저는 액션 영화를 별로 좋아하지 안하요.","action. i action movie not really like."
"연극. 저는 영화보다 연극을 더 좋아합니다.","a play. i movie more than play more like."
"영화. 이번 주말에 영화 보러 갈까요?","movie. this weekend movie see in order to shall we go?"
"예매. 사람이 많으니까 먼저 표를 예매합시다","advance purchase. People many cuz first ticket advance purchase do."
"장면. 어제 본 영화에서 어떤 장면이 제일 좋았어요?","scene. yesterday movie that saw which scene most liked?"
"코미디. 제 동생은 보면서 많이 웃을수 있는 코미디 영화를 좋아합니다.","comedy. My younger sibling watching while, a lot can laugh comedy movie, likes."
