"테니까","need to context, cuz, not formal, commands, ending, bg, only to realized, not emotions."
"가: 비빔밥에는 고추장을 넣어야 맛있지요? 나: 네, 하지만 고추장을 많이 넣으면 매울 테니까 조금만 넣으세요.","A: Doesn’t bibimbap need red pepper paste to taste good? B: yeah but it will be spicy if you add a lot of red pepper paste, so only put in a little."
"가: 마크 씨가 면접을 잘 봤는지 모르겠어요. 나: 잘 봤을 테니까 걱정하지 마세요.","A: mark interview well did if don’t know. B: i’m sure he did well, so don’t worry."
"가: 마리 씨가 과일을 좋아하니까 사과를 좀 사 갈까요? 나: 요즘 딸기 철이라 딸기가 싸고 맛있을 테니까 딸기를 사 가요.","A: Mari fruit likes cuz apple buy and go shall we? B: these days strawberry season is so strawberry cheap and tasty will be so strawberry buy and go."
"가: 선생님을 만나고 싶은데 어디에 계시는지 아세요? 나: 사무실에 계실 테니까 거기로 가 부세요.","A: teacher meet want to, where is know? B: office in will be so there go see."
"가: 아침 회의 대 음료수만 준비하면 될까요? 나: 대부분 아침을 안 먹었을 테니까 샌드위치도 같이 준비하는 게 좋겠어요.","A: Do we only need to prepare drinks for the morning meeting? B: Most people probably won’t have eaten breakfast, so preparing some sandwiches too is probably a good idea."
"일찍 출발하세요. 월요일이라 길이 막힐 테니까요.","leave early. There will be a traffic jam since it’s Monday."
"가: 재영 씨, 앞으로 어떻게 연락하면 될까요? 나: 제 이메일 주소를 가르쳐 드릴 테니까 여기로 연락 주세요.","A: Jaeyeong, how should i contact you from now on? B: I’ll give you my email address, so you can contact me that way."
"가: 손님이 오시니까 빨리 집을 정리해야겠어요. 나: 제가 거실을 정리할 테니까 당신은 방 청소 좀 해 줄래요?","A: guests coming so quickly house clean got to. B: I living room clean will so you room clean do for me wanna?"
"가: 혹시 제나 씨 연락처 아세요? 나: 도영 씨가 알 테니까 도영 씨한테 물어보세요.","A: perhaps jenna contact know? B: doyoung know will cuz doyoung to ask try."
"가: 저녁에 친구랑 야구 보러 가기로 했어요. 나: 그럼, 카디건을 가지고 가는 게 좋겠어요. 저녁엔 쌀쌀할 테니까요.","A: evening friend with night view see in order to go decided/promised. B: then cardigan take and going good. Evening chilly will be cuz."
"가: 내일 아침 8시에 출발하기로 했어요. 나: 그럼 지하철을 타는 게 좋겠어요. 출근 시간이라 길이 많이 막힐 테니까요.","A: tomorrow morning 8 leave decided/planned/promised. B: Then training taking good. Going to work time is so road very packed will be cuz."
"가: 주말에 파티를 하기로 했어요. 나: 음식을 충분히 준비하는 게 좋겠어요. 주말이라 사람들이 많이 올 테니까요.","A: weekend party do decided to. B: Then food sufficiently preparing would be good. Weekend is so people a lot come will cuz."
