"여가 생활.","leisure"
"여행","travel"
"경치. 한국에서 경치가 가장 아름다운 곳이 어디예요?","scenery, a view. Korean at view most beautiful place where is?"
"경험. 저는 세계를 여행하면서 많은 경험을 하고 싶어요.","experience. I world travel while a lot experience do want to."
"계획. 이번 여름에 유럽으로 여행을 갈 계획입니다.","plan. This time summer in europe towards trip to go plan is."
"관광. 한국에서 유명한 곳을 관광하고 싶어요.","a tour, sightseeing. Korea at famous place sightseeing want to."
"구경. 저는 경치가 예쁜 곳을 구경하고 싶어요.","looking around, seeing. I scenery pretty place sightseeing want to."
"국내. 저는 해외 여행보다 국내 여행이 더 좋아요.","domestic, (within) the country. I overseas travel compared to domestic travel more like."
"국적. 피터 씨는 국적이 미국이에요?","nationality. Peter as for nationality american is?"
"나라. 안나 씨는 어느 나라 사람입니까?","country. anna as for which country person is?"
"남해. 한국의 바다는 남해와 동해, 서해가 있습니다.","the south sea. Korea's sea as for south and east, west have."
"단풍. 가을에 단풍을 구경하러 설악산에 갈 겁니다.","tinged autumnal leaves. Fall in tinged autumnal leaves sightseeing in order to mt seorak go will."
"데리다. 지난 주말에 아이들을 데리고 놀이공원에 갔다 왔어요.","to take someone with, to accompany. last week children accompanied and amusement park went and came back."
"도착. 저는 내일 오후 6시에 부산에 도착할 거예요.","arrival. I tomorrow afternoon 6 oclock busan arrive will."
"동물원. 둥뭘원에 가서 동뭘들을 구경했어요.","zoo. Zoo to go and animals sightseed."
"동해. 올해 여름에는 동해와 설악산으로 휴가를 다녀왔어요.","the east sea. This year summer in as for east sea and mt seorak to vacation attending and came."
"들다. 저는 메는 가방보다 드는 가방이 더 편해요.","hold, carry, lift. I shoulder wearing bag compared to carrying bag more comfy."
"떠나다. 가을이 되니까 먼 곳으로 여행을 떠나고 싶어요.","to leave. Fall become cuz far place to trip leave want to."
"민속촌. 민속촌에 가면 옛날 사람들의 생활 모습을 볼 수 있어요.","folk village. Folk village to go if long ago people's life style/appearance see able to."
"배낭. 등산을 가려고 큰 배낭을 한 개 샀습니다.","backpack. Hiking go intending to big backpack 1 item bought."
"불국사. 경주에 가면 불국사에 꼭 가 보세요.","bulguksa (buddist temple in gyeongju). Gyeongju to go if bulguksa to go and see how it goes."
"사진 요즘에는 디지털 카메라로 사진을 많이 찍습니다.","picture. These days as for digital camera with picture a lot take."
"산. 저는 바다보다 산을 더 좋아해요.","mountain. I as for sea compared to mountain more like."
"설악산. 설악산은 단풍으로 유명해요.","Mt. Seorak autumn foliage for famous."
"섬. 제주도는 한국에서 가장 큰 섬입니다.","an island. Jeju island as for korean in most big island is."
"신기하다. 한국에서 여행을 하면서 신기한 곳을 많이 봤습니다.","to be marvelous. Korea in trip do while marvelous place a lot see."
"아름답다. 제주도의 경치는 정말 아름다워요.","to be beautiful. Jeju island's scenery very beautiful."
"안내. 외국 친구에게 서울을 안내해 주려고 합니다.","guidance. Foreign friend to seoul guide give planning to do."
"여권. 해외 여행을 하려면 여권이 꼭 있어야 합니다.","passport. Overseas trip do intend to if, passport for sure have have to."
"여행. 시험이 끝나면 친구들과 제주도로 여행을 갈 거예요.","a trip. Test is ended, when, friends with jeju to trip go will."
"여행사. 여행사에서도 기차표나 배행기 표를 살 수 있어요.","a travel agency. Travel agency from also train tickets or plane tickets buy able to."
"예약. 그 식당에 가려면 먼저 예약을 해야 합니다.","reservation. That restaurant go want to if, first reservation do have to."
"왕복. 서울에서 부산까지 왕복으로 몇 시간쯤 걸릴까요?","seoul from busan til round trip by how many hours around takes?"
"외국. 이번 여름 방학에는 외국으로 여행을 가고 싶어요.","a foreign country. This time summer school holidays in as for foreign country to trip go want to."
"유럽. 대학생들은 유럽으로 배낭여행을 많이 갑니다.","europe. University students as for europe to backpacking trip a lot go."
"유명하다. 한국은 무엇으로 유명합니까?","to be famous, to be well-know for. Korea as for what for famous?"
"지도. 길을 모를 때는 지도를 먼저 보세요.","map. road not know when map first look."
"짐. 비행기를 타기 전에 무거운 짐은 먼저 부쳤어요.","luggage. plane ride before, heavy luggage first check-in/send/forward."
"찍다. 저는 여행 가서 사진 찍는 것을 참 좋아합니다.","to take a picture. I trip go and then picture taking very liked."
"추억. 5년 전에 여행한 설악산에서의 추억을 잊을 수가 없어요.","memory. I can't forget the memories of Mt. Seorak that I traveled 5 years ago."
"출발. 그 비행기는 몇 시에 출발해요?","departure. That plane as for which hour departs?"
"카메라. 카메라로 사진을 찍습니다.","camera. Camera with picture take."
"특히. 여행 가 본 곳 중에서 어디가 특히 좋았어요?","especially, particularly. Trip go seen place from where especially good was?"
"표. 고향에 가려고 비행기 표를 샀습니다.","ticket. Hometown go in order to plane ticket bought."
"풍경. 풍경이 아름다운 곳으로 여행을 가고 싶어요.","scenery, landscape. Scenery beautiful place to trip go want to."
"한라산. 한라산은 제주도에 있는 아름다운 산이에요.","mt. halla. Mt. Halla as for jeju in existing beautiful mountain is."
"해수욕장. 여름이 되면 바닷가에 있는 해수욕장에서 수영을 합니다.","beach swimming area. Summer become if beach existing beach swimming area at swim do."
"해외. 해외로 여행을 가려면 돈이 많이 필요합니다.","overseas, abroad. Overseas trip go want to money a lot need."
"확인. 비행기 출발 시간을 확인했어요?","confirmation. Plane departing time confirmed?"
